88570.8,119104,97196.8,92210.8,85376,91567.6,54677.6,98409.2,103531,79288.8,51089.6,98511.6,59971.2
100682,123194,94168.4,72857.6,95117.2,76977.6,90238.8,97685.6,48990.8,56859.2,56609.2,82002,75587.6
97777.6,123052,89699.6,90222.4,93448.8,84108.8,98388.4,69324.4,86386.4,49264,89126.4,94495.2,75895.6
93790,128192,103359,87886.8,95170.8,51434.8,73233.2,100508,77832.8,86641.6,88207.6,55786.4,65711.2
101590,119966,83552.4,95485.6,96023.6,52071.2,45858.8,88235.6,94589.6,103382,59286.8,101726,64270.8
85177.6,115594,81362.4,78181.2,67038.8,49593.2,91242,88088,95361.2,79898.8,49292,92916.8,73562.8
87249.2,116990,83790,82868.4,88901.2,58349.2,98172,81342.4,102480,85326,60632.8,57704.8,45226.8
93286.8,63696.8,90637.2,85423.2,95082.4,94797.2,97933.2,93183.2,95484.8,93631.6,92599.6,84634,61837.6
90339.6,115530,87980.4,82812,95976.8,51304.4,94165.2,76016,80505.6,78757.6,103898,98879.6,76774.4
78597.6,120334,93333.6,102754,99013.2,93077.6,96147.6,55072.4,94496.8,79862,96376.8,77895.6,41362.8
