18740.8,38112,19255.6,16615.6,23672.8,18958.4,23782,14653.6,19392.4,18458.8,22814.8,19340.8,15473.6
19315.2,26692.8,22662,21409.6,31332,19151.2,25988.4,26450.8,24168.4,22894.8,23694,23391.2,13200.8
20425.6,33324.8,18275.2,16516.4,16981.6,19608.4,14702.8,21621.2,19048.4,25209.6,24698,20953.6,8272
22241.6,33404,33748,27926.8,25028.8,27477.6,24400.8,17994,19109.6,22236,17768.4,23458.4,11563.6
20015.2,34920,26789.6,20966.8,19464.8,20738.8,20301.2,22314.4,26072,16288.8,23252.4,21510,16126.4
23656.8,30490.8,22908,25499.2,18104.4,19972,24604.8,14359.2,22460,11434.4,13037.6,20273.2,23364.4
22592.4,27474.4,26130,24008.8,20142.4,23850.4,18238.8,15146.4,18004,22196.8,22987.2,20357.2,16442.4
27314,33210.8,20964,17252.4,26642,18648,19822.4,14900.8,24448.4,19057.6,19386,17249.2,14133.2
29748.4,33977.2,19828,23466.4,21075.6,17876.8,19174,18119.6,19834.4,23814.8,26188,18188,17235.6
23784,33706.4,28548.4,18590,17413.2,15288.8,14697.2,17918.4,20691.2,19302,21114.8,13214.8,15764
