4681.6,12302,8279.2,5491.2,6108,4731.6,6878.8,8232.8,6856.8,6340.4,8808.8,5544.4,5386.4
6086.8,10738,5371.6,4932.4,10938,7564.8,6076.4,9136,8807.2,5994.8,5475.6,9698.4,6857.6
7262.4,11642,8609.2,6424.8,6563.6,6428,4766.8,7687.6,7127.2,5026.8,9562.8,7836.4,5527.6
5964,11790.8,5030.4,7232.4,6233.6,8572.4,5634,5586,5980.8,5754,7143.2,7853.2,3488.8
4277.6,11362,7909.2,5464.8,6271.6,7736.8,6779.2,5456,5992.4,6313.6,6754,9891.2,6947.6
7531.2,10626.4,8489.2,5981.2,12592.8,5888,4842.8,6988.8,7045.6,6859.2,5872.8,4616.4,6666.4
5611.6,8839.6,5771.2,7923.2,6908.4,7693.6,5726.4,6732.4,5623.6,5862,8669.6,8993.6,4749.2
4928,13279.6,8253.6,4044.4,6979.2,7550.4,5974.4,7675.6,8017.6,7306.4,3346,7398.8,8026
9521.6,13283.6,7051.2,5561.6,8642.4,7266,5047.6,5230.8,3570.8,4398.8,4518.8,4714.8,8576
4991.2,11063.6,8185.6,5985.6,4562.8,6008.8,7341.2,6235.2,7005.2,6600.8,6746,5567.2,4918
